avg_vote,metascore,reviews_from_users,reviews_from_critics,tomatometer_rating,audience_rating,usa_gross_income,worlwide_gross_income
6.4,,266.0,97.0,17,47.0, 22006296, 112006296
6.4,,266.0,97.0,100,35.0, 22006296, 112006296
7.9,79.0,1250.0,526.0,94,91.0, 318604126, 585366247
4.9,,165.0,71.0,42,31.0, 17323326, 17323326
5.1,36.0,40.0,52.0,14,38.0, 16809014, 17492014
6.4,49.0,61.0,66.0,56,54.0, 2402652, 3520373
6.6,66.0,147.0,50.0,84,77.0, 22231658, 22231658
6.0,55.0,45.0,14.0,86,72.0, 18272894, 18272894
6.0,55.0,45.0,14.0,30,68.0, 18272894, 18272894
7.0,48.0,1024.0,120.0,93,72.0, 155385488, 415933406
7.0,48.0,1024.0,120.0,89,64.0, 155385488, 415933406
7.0,48.0,1024.0,120.0,59,75.0, 155385488, 415933406
7.0,48.0,1024.0,120.0,16,35.0, 155385488, 415933406
5.5,34.0,860.0,429.0,93,72.0, 80227895, 409231607
5.5,34.0,860.0,429.0,89,64.0, 80227895, 409231607
5.5,34.0,860.0,429.0,59,75.0, 80227895, 409231607
5.5,34.0,860.0,429.0,16,35.0, 80227895, 409231607
8.3,65.0,956.0,173.0,100,86.0, 45408703, 66023329
8.3,65.0,956.0,173.0,81,94.0, 45408703, 66023329
4.5,27.0,183.0,79.0,9,43.0, 36879320, 69372109
6.2,53.0,154.0,114.0,51,50.0, 16136476, 19463185
5.9,61.0,223.0,100.0,98,86.0, 52614445, 52614445
5.9,61.0,223.0,100.0,53,31.0, 52614445, 52614445
5.9,61.0,223.0,100.0,84,50.0, 52614445, 52614445
7.2,81.0,2670.0,459.0,98,86.0, 218080025, 550517357
7.2,81.0,2670.0,459.0,53,31.0, 218080025, 550517357
7.2,81.0,2670.0,459.0,84,50.0, 218080025, 550517357
7.3,87.0,153.0,39.0,93,78.0, 50083616, 50083616
7.3,87.0,153.0,39.0,83,83.0, 50083616, 50083616
7.3,87.0,153.0,39.0,91,84.0, 50083616, 50083616
7.3,87.0,153.0,39.0,29,75.0, 50083616, 50083616
6.5,57.0,176.0,215.0,70,46.0, 31011732, 60040976
6.5,57.0,176.0,215.0,55,51.0, 31011732, 60040976
7.2,90.0,174.0,70.0,83,75.0, 32255440, 32255440
7.9,94.0,293.0,431.0,97,82.0, 8114627, 11176469
6.0,49.0,53.0,40.0,21,43.0, 39321715, 39337581
6.0,49.0,53.0,40.0,33,35.0, 39321715, 39337581
3.0,,49.0,29.0,0,17.0, 8914881, 8914881
7.8,61.0,579.0,136.0,74,88.0, 54234062, 75395048
6.7,49.0,106.0,223.0,43,45.0, 7227038, 14880939
6.9,55.0,202.0,79.0,37,78.0, 26420672, 55494066
6.9,55.0,202.0,79.0,100,88.0, 26420672, 55494066
6.9,55.0,202.0,79.0,68,49.0, 26420672, 55494066
